egs-序号,egs-考点,egs-分值,egs-时间限制,egs-填空题输入大小,egs-题型,egs-试卷类别,egs-基本题型,egs-选项与解析,egs-是否依赖上级父题目,egs-子题目是否可以随机出现,egs-Directions材料题干,egs-Egs对应标签题型,egs-标题
"","","","","","Multiple Choice","大学英语四级","选择题","0--sense&&0--belief&&1--attitude&&0--reason","0","2","<p>This has tended to foster (养成) a very negative ________ toward this&nbsp;company and its staff.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--argument&&1--acceptance&&0--response&&0--curiosity","0","2","<p>The report said that general ________ of the policy was still slow in&nbsp;coming.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--appeal&&0--attract&&0--interest&&0--draw","0","2","<p>I'm sure this delightful book will ________ to children of all ages.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--humor&&0--confidence&&0--conflict&&1--curiosity","0","2","<p>Some came to obtain new power, some to laugh, and others to satisfy&nbsp;their ________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--cured &&1--crippled&&0--cared&&0--contracted","0","2","<p>Even if they survive such a serious accident, they will be badly hurt or ________ for life.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--combine&&0--connect&&0--cooperate&&1--coordinate","0","2","<p>A good swimmer should learn to __________ the movements of his arms and legs.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--Although&&0--Though&&1--Despite&&0--In spite","0","2","<p>_________ what others say, I think he's a very kind and friendly young man.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--occupy&&0--adjust&&0--conduct&&1--engage","0","2","<p>It is considered inappropriate for a former president to _________ in&nbsp;commerce.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--locals&&0--citizens&&0--migrants&&0--emigrants","0","2","<p>The small town became a tourist attraction and its only restaurant became so crowded that the ______________ had to eat at home every night.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--subjected&&0--adjusted&&0--objected&&0--constricted","0","2","<p>The products have been __________ to strict tests before leaving the&nbsp;factory.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--make&&1--enable&&0--force&&0--realize","0","2","<p>The large wings of that bird ___________ it to fly high and fast.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--calling&&0--preventing&&0--resulting&&1--collapsing","0","2","<p>Twenty years ago it was common to see people ____________ from hunger on the streets in that poor nation, but clearly the situation has improved greatly since then.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--weigh&&0--like&&0--grow&&0--increase","0","2","<p>After a long period of regular exercise, I now ____________ much less&nbsp;than I used to.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--collapse&&0--stress&&0--cripple&&0--bang","0","2","<p>After Stephen's sudden ____________ during the meeting, he was rushed to&nbsp;hospital.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--to locate&&0--locate&&1--locating&&0--of locating","0","2","<p>If you have difficulty ____________ a particular book, please ask one of&nbsp;the librarians for assistance.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--emergence&&0--merging&&0--emerging&&1--emergency","0","2","<p>A fire started in the plane, and the pilot was forced to make an&nbsp;____________ landing.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--grows on&&0--grows out&&0--grows further&&1--grows up","0","2","<p>When someone ____________, they gradually change from being a child into being an adult.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--a cripple&&0--being crippled&&1--crippled&&0--cripple","0","2","<p>Richard was ____________ in the bombing of 1984, and had been in a&nbsp;wheelchair ever since.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--secure&&1--severe&&0--sincere&&0--stern","0","2","<p>The victims suffered ____________ head injuries in the accident.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--direction&&0--movement&&1--balance&&0--coordination","0","2","<p>Riding a bike helps develop a child's sense of ____________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--to talk&&0--talk&&0--in talking&&1--talking","0","2","<p>We used to have great times ____________ together.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--effective &&0--relaxed&&1--conscious&&0--obvious","0","2","<p>When you're in Paris you can't help being ________ of the way the streets&nbsp;are kept clean.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--attitude&&0--reaction&&0--effect&&1--impression","0","2","<p>The book offers some advice about how to make a good ________ at job&nbsp;interviews.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--consistent&&1--committed&&0--content&&0--engaged","0","2","<p>He was a good worker who was ________ to his family as well as to his&nbsp;work.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--reactions&&0--views&&0--ideas&&0--opinions","0","2","<p>It is said that ________ to the plan so far have been positive.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--account&&0--sign &&0--range &&1--estimate","0","2","<p>It is very difficult, for the time being, to ________ how much money is needed.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--status&&1--behavior&&0--function&&0--sign","0","2","<p>The teacher praised and rewarded the good ________ of his students in&nbsp;class.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--pay&&1--focus &&0--absorb&&0--promote","0","2","<p>We must ________ our attention on the question of reducing our cost.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--impresses&&0--focuses&&1--projects&&0--communicates","0","2","<p>Have you ever noticed that Jack always ________ a picture of quiet self-worth?&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--sight&&0--view&&0--show&&0--range","0","2","<p>She has been known to become upset at the ________ of blood.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--sight&&0--view&&1--distance&&0--range","0","2","<p>From a ________, he could see the tall chimneys of the factory.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--head&&1--mind&&0--brain&&0--sense","0","2","<p>He knew what he had to do, and he got up and did it before he changed&nbsp;his ________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--means&&0--impression&&0--attraction&&0--course","0","2","<p>For most people in China, the bicycle is still their main ________ of&nbsp;transport.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--attracted &&0--excited&&1--absorbed&&0--drawn","0","2","<p>Mary was so _______ in her job that she didn't hear anybody knocking at the door.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--ran&&1--encountered&&0--acquainted&&0--influenced","0","2","<p>Many of the children ________ some difficulty in learning the material.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--expression&&0--feeling&&0--meaning &&0--show","0","2","<p>His facial ________ told me that he didn't want to discuss the issue.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--action&&0--measure&&1--campaign&&0--achievement","0","2","<p>Motoring organizations have started a(n) ________ for safer roads in the area.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--to which&&1--of which&&0--which&&0--that","0","2","<p>We also use other forms of communication ________ we may be aware or&nbsp;unaware.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--so&&0--such&&0--very&&0--that","0","2","<p>The train was ________ slow that I was almost two hours late.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--Since&&0--When&&1--While&&0--As","0","2","<p>________ speech is the most obvious form of communication, we do use&nbsp;other forms to communicate.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--into &&0--of&&0--on&&0--off","0","2","<p>Being with his family for a few days, I gained one or two insights&nbsp;________ the reason he behaves the way he does.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--falling&&1--fallen&&0--fall&&0--fell","0","2","<p>The ________ child was helped to his feet.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--to be solved &&1--solved&&0--solving&&0--to solve","0","2","<p>With a lot of mathematical problems ________, Jack was free to go to the cinema for a change in scenery.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--method&&0--way&&0--means&&1--approach","0","2","<p>Robin thought that the best _______ to learning a foreign language is the&nbsp;study of the spoken language.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--assists&&1--constitutes&&0--establishes&&0--founds","0","2","<p>Listening, speaking, reading, and then writing _______ the basic order in language learning.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--alarmed&&0--scared&&0--surprised&&1--confused","0","2","<p>If you try to learn too many things at a time, you may get _______.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--likes &&0--unlike&&1--likely&&0--liked","0","2","<p>He's not got another job yet and it's not ______ he will for some time.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--on&&0--down&&0--over&&1--out","0","2","<p>The teacher handed _____ books to every student at the beginning of the class.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--established&&0--built&&0--founded&&0--found","0","2","<p>The young professor ______ himself as an international leader in the&nbsp;field of mathematics.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--attracted &&0--suffered&&1--distracted&&0--related","0","2","<p>His thoughts were _______ from the subject by the arrival of his friends.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--significant&&0--aware&&1--confident&&0--intense","0","2","<p>She is a ______ woman who is certain of her ideas and actions.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--For fear that&&0--Because&&1--While&&0--Until","0","2","<p>______ I admit that the problems are difficult, I don't agree that they can't be solved.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--because&&0--which&&0--that&&1--where","0","2","<p>I'm going to spend the winter vacation in Shanghai, ______ I have&nbsp;relatives.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--effects&&0--affects&&0--adopts&&0--adjusts","0","2","<p>As a result, we do not see ourselves as capable of giving any useful&nbsp;opinion on the possible ______ that a trial might have on his health.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--correcting&&0--adopting&&1--risking&&0--effecting","0","2","<p>The university has already cut its budget as much as possible without&nbsp;______ its quality and reputation.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--confuse&&1--confusing&&0--demanded&&0--demanding ","0","2","<p>His policies, especially in the first two years of his presidency, have often been ______ and contradictory.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--indoor&&1--indoors&&0--outdoor&&0--outdoors","0","2","<p>They carried the chairs and benches ________ as it was raining outside.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--routes&&0--roads&&0--ways&&0--paths","0","2","<p>This is my first time in this city, so the first thing I need to do is to know about the bus ________ here.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--imagine&&0--register&&0--boast&&0--yell","0","2","<p>&nbsp;You can ________ how surprised I was when I was told that I had received the highest marks on the final examination.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--neither&&0--both&&0--each&&1--either","0","2","<p>He lived in Shanghai and Beijing, but doesn't like ________ city very much.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--chill&&0--to chill &&0--chilled &&1--chilling","0","2","<p>Additional time is required for cooking or ___________ homemade dishes.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--just &&0--only&&1--right&&0--rightly","0","2","<p>Go ________ home at once and don't stop off anywhere on the route.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--Oppose&&1--Contrary&&0--Against&&0--Opposing","0","2","<p>________ to what they had expected, the film ended up a total failure.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--either&&0--neither&&0--also&&0--too","0","2","<p>I haven't read this book, and my brother hasn't ________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--cleanest&&1--cleaner&&0--cleaning&&0--cleanlier","0","2","<p>Thanks go to the trashmen who leave the streets ________ each night.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--done&&0--doing&&0--to do&&0--do","0","2","<p>With the job ________, he went to see a film with his colleagues.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--accept&&1--accepts&&0--agree&&0--agrees","0","2","<p>Neither his friends nor his mother ________ his marriage to that girl.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--No one&&0--None&&0--Not one&&1--Neither","0","2","<p>&mdash;Did Jack and Tom understand her?</p><p>&mdash;No. _______ of them is very bright.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--what &&0--that&&1--which&&0--the which","0","2","<p>He arrived late, _______ was annoying.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--foundation&&0--possibility&&1--exception&&0--ignorance","0","2","<p>Most people have no real idea how to change to healthy food, and Maureen was no ________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--instinct&&0--imagination&&0--reaction&&0--reality","0","2","<p>He always knew what time it was, as if by ________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--confronts&&0--affects&&0--attaches&&1--dominates","0","2","<p>He refuses to let others speak, as he ________ every meeting.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--spontaneous&&1--original&&0--previous&&0--cautious","0","2","<p>The creating of the first steam-powered machine, by James Watt, was a(n) ________ idea that required thought and great effort.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--range &&1--span&&0--reach&&0--spread","0","2","<p>Young children have a limited attention ________ and can't focus on one activity for long.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--guilt&&0--intention&&0--violence&&0--victim","0","2","<p>She can't remember committing the murder, although all the facts point to her ________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--accurate&&1--cautious&&0--apparent&&0--aware","0","2","<p>Still, in their journal articles, these researchers are ________ about telling people to give up dieting.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--in &&0--for&&0--off&&1--up","0","2","<p>Darren has decided to give ________ football at the end of this season.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--attached&&0--shook&&1--tossed&&0--turned","0","2","<p>The fire was started when a passing motorist carelessly ________ a&nbsp;cigarette out of his car.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--enlarged&&0--adjusted&&0--adopted&&0--afforded","0","2","<p>I went to the photo shop to have my photos _______________ to cover my walls at home.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--upon &&0--out&&1--through&&0--in","0","2","<p>I've looked ________ all my papers but I still can't find the contract.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--upon &&0--out&&1--through&&0--in","0","2","<p>He looked ________ the pile, trying to decide which one to pick.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--arriving &&1--pulling&&0--reaching&&0--turning","0","2","<p>Just as the train was ________ in, there was a shout and someone fell&nbsp;onto the track.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--advocated&&0--argued&&0--intended&&0--offended","0","2","<p>These were the people who ________ using force to stop violence.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--effect&&0--impress&&0--absorb&&1--affect","0","2","<p>Such thoughts will ________ the way the courts decide on what sentence to pass on the accused.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--capable&&0--enabled&&0--able&&0--skilled","0","2","<p>Most people believe that he is quite ________ of lying to get out of&nbsp;trouble.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--tends&&0--extends&&1--intends&&0--designs","0","2","<p>The writer clearly ________ his readers to identify with the main&nbsp;character.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--stole&&0--revealed&&0--omitted&&1--robbed","0","2","<p>Their insecurities too often ________ the managers of invaluable&nbsp;support, just when they needed it most.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--approached&&1--transported&&0--handled&&0--communicated","0","2","<p>We were told that most of our luggage would be ________ by sea.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--imagine&&0--advocate&&1--reveal&&0--dominate","0","2","<p>His letters ________ a different side of his personality.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--robbing &&0--barking&&0--collapsing&&1--offending","0","2","<p>He apologizes for his comments and says he had no intention of ________ the community.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--Forming&&0--Having form &&1--Formed &&0--To form","0","2","<p>________ 25 years ago next month, the club is holding a party for past and present members.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--for&&1--on&&0--against&&0--in","0","2","<p>A man walked in off the street and fell flat ________ his face,&nbsp;unconscious.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--have&&1--did&&0--had&&0--should","0","2","<p>Little _______ we know his speech had made so deep an impression on his audience.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--That&&0--Which&&0--It&&1--As","0","2","<p>_______ is known to the world, Mark Twain is a great American writer.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--foundation&&0--possibility&&0--exception&&1--ignorance","0","2","<p>Patients, it is claimed, were kept in ________ of what was wrong with&nbsp;them.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--Instincts&&0--Imaginations&&1--Reactions&&0--Realities","0","2","<p>&nbsp;________ to the proposal so far have been mixed.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--confronted&&0--affected&&0--attached&&0--dominated","0","2","<p>I thought I would remain calm, but when I was ________ by the TV camera, I became very nervous.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--range&&0--span&&0--reach&&0--spread","0","2","<p>The product is aimed at young people in the 18-25 age _______.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--emerged&&0--known
&&0--broken&&0--recognized","0","2","<p>They have ________ as the leading scientists in their field.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--accurate&&0--reasonable&&0--apparent&&0--aware","0","2","<p>We hope to become more ________ in knowing when earthquakes happen.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--in &&0--for&&0--off&&1--up","0","2","<p>Don't offer him a cigarette; he's trying to give it ________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--contrive&&1--acquaint&&0--acquire&&0--admit","0","2","<p>The Broadcasting Museum also offers Saturday workshops to ________&nbsp;children with the world of radio.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--although&&0--because&&1--as&&0--however","0","2","<p>Young _______ he is, he is equal to the task.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--that&&0--has&&0--what&&0--later","0","2","<p>It was the training that he had as a young man _______ made him such a good engineer.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--what &&1--which&&0--who&&0--that","0","2","<p>Helen was much kinder to her youngest child than she was to the others, _______, of course, made the others jealous.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--that&&0--for&&0--why&&0--what","0","2","<p>One reason why women live longer than men after retirement is _______&nbsp;women can continue to do something they are used to doing.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--satisfied&&0--satisfying&&1--satisfactory&&0--satisfaction","0","2","<p>The general health situation in the city seems reasonably _________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--reasoning&&0--a reason for&&0--reasoned&&1--reasonable","0","2","<p>It is __________ that a prospective employer should want to know if&nbsp;someone has a criminal record.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--occupy&&0--compose&&0--think&&0--intensify","0","2","<p>While she waited, she tried to __________ her mind with pleasant&nbsp;thoughts of the vacation.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--transfer &&0--enhance&&0--flash&&1--swing","0","2","<p>His opinions would often ____________ from one extreme to the other.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--kept&&0--recalled&&1--transferred&&0--moved","0","2","<p>Fed up with the disastrous performances of the team he'd been watching&nbsp;for years, he ____________ his support to their rivals.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--prices&&1--costs&&0--offers&&0--activities","0","2","<p>It is nice to travel with ______ paid by your boss, at no cost to&nbsp; yourself.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--explored&&0--extended&&0--expanded&&1--explosion","0","2","<p>The gasoline ______ destroyed the company and injured many people.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--relationship &&0--relation&&1--relatives&&0--person","0","2","<p>On our trip out of the country we visited ______ in England.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--as&&0--that&&1--than&&0--but","0","2","<p>We often advise him not to drink more wine _______ is good for his&nbsp;health.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--some way&&0--anyhow&&1--anyway&&0--whatever","0","2","<p>&mdash;Why does Dr. Takin prefer his office?<br />&mdash;Because here he is free to do his research _______ he wants.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--What&&0--Whether&&1--That&&0--How","0","2","<p>_______ electric wires are made from lead is common practice.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--unless&&0--for &&0--because&&1--for fear","0","2","<p>They didn't break the bad news to his mother _______ that she might&nbsp;break down.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--makes of&&0--constitutes&&1--consists of &&0--forms","0","2","<p>I work in the English department that _______ three teaching sections.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--consciousness&&1--conscience&&0--kindness&&0--sympathy","0","2","<p>You asked me if you should move your parents in. Well, I can't advise you on such a question; it's a matter of ________.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--trouble&&0--problem&&0--choice&&1--dilemma","0","2","<p>The ________ she is in is whether to get married and live her own life or to stay at home supporting the family.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--aware of&&0--knowing &&0--recognizing&&0--being aware","0","2","<p>Though ________ possible punishment, some students are still inclined to cheat on tests.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--question&&0--problem&&0--request&&0--issue","0","2","<p>To cheat or not to cheat, this is a(n) ________ of honesty.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
